iter	RMSE
0	1612.262956
1	1535.679531
2	1463.847698
3	1394.854617
4	1324.874872
5	1257.098686
6	1204.241439
7	1145.197024
8	1097.214096
9	1046.520569
10	998.1762629
11	951.8658124
12	913.5540979
13	878.6719898
14	843.421014
15	808.7903568
16	777.195267
17	748.2126801
18	717.2015859
19	693.0715926
20	667.6366581
21	645.670223
22	620.4910458
23	596.7562857
24	577.5972272
25	559.8804735
26	542.3300347
27	523.9267016
28	506.4789446
29	487.7329221
30	474.8024721
31	459.2121714
32	442.9931257
33	428.7497245
34	415.8985236
35	402.5657636
36	389.973133
37	379.8691503
38	367.3162904
39	355.7859992
40	345.8252486
41	336.55337
42	325.944984
43	316.2347407
44	308.0156857
45	298.7042351
46	290.9494343
47	283.7392799
48	275.3240974
49	267.581338
50	260.6296817
51	254.2614047
52	249.0239169
53	243.2232094
54	237.7925175
55	231.8122825
56	225.3875101
57	219.5641071
58	214.6008567
59	209.749029
60	204.0573935
61	200.1743959
62	194.3092179
63	188.8760723
64	184.672538
65	180.3553869
66	175.989049
67	172.6984643
68	169.5208819
69	165.9305172
70	162.2178181
71	158.7838894
72	155.9382339
73	152.7457481
74	149.4420705
75	146.7125399
76	143.668347
77	141.1622812
78	138.62638
79	136.3220999
80	133.4901814
81	130.9421273
82	128.902354
83	126.7670631
84	124.1164257
85	122.2322985
86	120.2814332
87	118.061362
88	116.2459033
89	114.5492551
90	112.6732633
91	110.8701434
92	108.9565748
93	107.2840336
94	105.5941261
95	104.3186956
96	103.0545675
97	101.8214296
98	100.8890012
99	99.82518071
