iter	Passed	Remaining
0	56	5548
1	56	2770
2	57	1845
3	57	1382
4	58	1102
5	58	917
6	59	785
7	59	684
8	60	607
9	60	544
10	60	493
11	61	450
12	61	414
13	62	383
14	62	355
15	63	332
16	63	311
17	64	292
18	64	275
19	65	260
20	65	246
21	65	233
22	66	222
23	66	211
24	67	201
25	67	192
26	68	184
27	68	176
28	68	168
29	69	161
30	69	155
31	70	149
32	70	143
33	71	137
34	71	132
35	71	127
36	72	123
37	72	118
38	73	114
39	73	110
40	74	106
41	74	103
42	74	99
43	75	95
44	75	92
45	76	89
46	76	86
47	76	83
48	77	80
49	77	77
50	78	75
51	78	72
52	78	70
53	79	67
54	79	65
55	80	62
56	80	60
57	80	58
58	81	56
59	81	54
60	82	52
61	82	50
62	82	48
63	83	46
64	83	45
65	84	43
66	84	41
67	84	39
68	85	38
69	85	36
70	86	35
71	86	33
72	87	32
73	87	30
74	87	29
75	88	27
76	88	26
77	89	25
78	89	23
79	90	22
80	90	21
81	91	19
82	91	18
83	91	17
84	92	16
85	92	15
86	93	13
87	93	12
88	94	11
89	94	10
90	95	9
91	95	8
92	95	7
93	96	6
94	96	5
95	97	4
96	97	3
97	97	1
98	98	0
99	98	0
